Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100,Daily Return,Rolling Volatility,Volume_SMA_30,Momentum,RSI
2019-12-15,7124.24,7181.08,6924.38,7152.3,7152.3,16881129804.0,7454.041333333334,8235.6111,0.03170871030280664,0.03167162089002558,23370443427.466667,28.0600000000004,43.381528503371065
2019-12-14,7268.9,7308.84,7097.21,7124.67,7124.67,17137029730.0,7420.057333333333,8242.6947,-0.0038630929910657974,0.02869789174901479,23192247395.533333,-144.22999999999956,45.08181707168153
2019-12-13,7244.66,7293.56,7227.12,7269.68,7269.68,17125736940.0,7389.297,8257.089,0.02035322337736356,0.02899001078602424,22999657347.5,25.020000000000437,49.509956926150195
2019-12-12,7216.74,7266.64,7164.74,7243.13,7243.13,18927080224.0,7362.816666666667,8267.6696,-0.0036521552530510704,0.028844832493162862,22779854518.8,26.390000000000327,50.1010739102969
2019-12-11,7277.2,7324.16,7195.53,7217.43,7217.43,16350490689.0,7331.179333333333,8277.856099999999,-0.003548189801922619,0.02861833275301106,22367718080.3,-59.76999999999953,48.59017001968342
2019-12-10,7397.13,7424.02,7246.04,7278.12,7278.12,18249031195.0,7311.147666666668,8288.725400000001,0.008408810338305983,0.0280654958138274,22174486104.6,-119.01000000000022,48.9224692220718
2019-12-09,7561.8,7618.09,7365.99,7400.9,7400.9,17872021272.0,7288.515666666667,8310.35,0.016869741086984025,0.02781490204068897,21714468171.5,-160.90000000000055,51.052589971214786
2019-12-08,7551.34,7634.61,7476.09,7564.35,7564.35,15409908086.0,7268.537666666667,8333.737200000001,0.02208515180586157,0.028083232527874737,21269222063.466667,13.010000000000218,51.22248482320774
2019-12-07,7547.27,7589.95,7525.71,7556.24,7556.24,15453520564.0,7261.4383333333335,8359.1548,-0.0010721344200097516,0.026695094967362495,21008464029.0,8.969999999999345,59.890657679428685
2019-12-06,7450.56,7547.0,7392.18,7547.0,7547.0,18104466307.0,7265.961,8380.7017,-0.0012228304024223258,0.02527771442868302,20954443769.4,96.4399999999996,58.980603778541564
2019-12-05,7253.24,7743.43,7232.68,7448.31,7448.31,18816085231.0,7267.216,8403.1811,-0.013076719226182587,0.025406519626030948,20966837567.933334,195.07000000000062,56.42635362616304
2019-12-04,7320.13,7539.78,7170.92,7252.03,7252.03,21664240918.0,7264.121,8420.0643,-0.02635228662609379,0.025825553976204594,20751929564.133335,-68.10000000000036,49.39055895364114
2019-12-03,7323.98,7418.86,7229.36,7320.15,7320.15,14797485769.0,7275.277,8443.5579,0.009393231964015536,0.024163991050550504,20551776307.6,-3.8299999999999272,73.2109314699835
2019-12-02,7424.04,7474.82,7233.4,7321.99,7321.99,17082040706.0,7279.337666666667,8437.6635,0.0002513609693790553,0.02354038047522021,20502322164.566666,-102.05000000000018,66.5902837525875
2019-12-01,7571.62,7571.62,7291.34,7424.29,7424.29,18720708479.0,7287.0273333333325,8432.8091,0.013971611542763718,0.023658835327168764,20420747576.8,-147.32999999999993,62.87355995418356
2019-11-30,7764.06,7836.1,7515.85,7569.63,7569.63,17158194786.0,7296.248333333333,8429.269,0.01957628271524947,0.023786651438094986,20230216347.266666,-194.4300000000003,68.94898219913122
2019-11-29,7466.73,7781.18,7460.76,7761.24,7761.24,19709695456.0,7307.5346666666655,8425.8002,0.02531299416219812,0.02400302319999788,20139030939.066666,294.5100000000002,70.13434914393378
